Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0691509083222757	0.0124172432899135	0.0258071259686769
ctrx_quarter	0.0618783894472353	0.0217545725960506	0.0331080088753756
cpayroll_trx	0.0391867390531526	0.00357203828516261	0.00067213637488274
mrentabilidad_annual	0.0375202205300285	0.0385969746922596	0.0423657612672152
Visa_msaldototal	0.0329147319711375	0.00674542336658367	0.00892433041059859
cliente_edad	0.031839888055405	0.0507752947434332	0.0542538426221787
mcuentas_saldo	0.0288427012688592	0.0208896314787548	0.030341400292935
mpasivos_margen	0.0282128506509174	0.0206980475761466	0.0302236441170205
numero_de_cliente	0.0279909916311188	0.0463632650778592	0.0488780747262169
mcuenta_corriente	0.0231844052106195	0.0395164234109784	0.0429704193839897
Master_fechaalta	0.0228620658901622	0.0172338650947135	0.0270124728929252
Visa_Fvencimiento	0.0226842015590424	0.0231236946385233	0.0328288341212412
Master_Fvencimiento	0.0224529564468205	0.0193734929539546	0.0303665392518381
cliente_antiguedad	0.0222803886083679	0.0343047763918795	0.0409209326818374
Visa_fechaalta	0.0200554786338372	0.0156161905791277	0.0261723024243218
mactivos_margen	0.0180573387876872	0.0234511806626052	0.0278314737119261
Master_mfinanciacion_limite	0.0179684820733736	0.0161182269323363	0.0219344031945001
mpayroll	0.0179072508692069	0.00853105343309401	0.00257211242671663
mprestamos_personales	0.0172042792442573	0.0158154890747732	0.00469436979937788
mrentabilidad	0.0170425402622882	0.0248055550430051	0.0286716441805295
Visa_mfinanciacion_limite	0.0162906309660568	0.0148358705396007	0.0221897620928316
chomebanking_transacciones	0.0161999925650569	0.0141458513448299	0.0227560502197013
mcomisiones_mantenimiento	0.0148236630631792	0.0105092322517462	0.0114593959505107
mtarjeta_visa_consumo	0.0147072865472087	0.00415846749451395	0.00770046004294793
Visa_msaldopesos	0.0125680632983767	0.00697332305275078	0.00941255545455869
ccomisiones_otras	0.0120213988299492	0.00873526883226297	0.0146030889164976
Visa_mpagospesos	0.0118965109490949	0.00741656570909753	0.0150952832697582
mcaja_ahorro_dolares	0.011219626625989	0.0143931208161001	0.0128446848963812
Visa_mpagominimo	0.010950459839319	0.00699277851911603	0.01129136185679
mcomisiones	0.0108975822066222	0.0101525134900281	0.0178499839242973
mcomisiones_otras	0.0106602064097398	0.00974091169977188	0.0165202653086336
ccomisiones_mantenimiento	0.0104584627401518	0.00617490292742791	0.00246097176630295
cproductos	0.0103436000920146	0.0251386197717556	0.0167279924953592
Visa_mconsumospesos	0.0102559376616555	0.00593476860367815	0.012437169141531
ctarjeta_visa_transacciones	0.00988962460181241	0.00442388943031384	0.0083395188403266
mtransferencias_recibidas	0.00965080443809862	0.00807744006458369	0.0125496329050449
Master_fultimo_cierre	0.00925325972183409	0.00972876034160467	0.014525025833588
