Feature	Gain	Cover	Frequency
ctrx_quarter	0.151637009728703	0.0227142970489554	0.0315262285464546
mcuentas_saldo	0.0733035250483252	0.0199985226638231	0.0286401631630962
mrentabilidad_annual	0.0413911762301212	0.0364207189022759	0.0460589261316881
Master_status	0.034446423158802	0.0144233829181738	0.00181117336472701
Master_Finiciomora	0.0300880924165256	0.0161781413508421	0.000878025348552439
mcaja_ahorro	0.0281660942861199	0.0123019901695055	0.023639749743089
Master_fechaalta	0.0241221737194123	0.0180754467446061	0.0265376271266522
mcuenta_corriente	0.0236798968680353	0.0399205430622108	0.0431334874143138
cliente_edad	0.0236499008831544	0.0468823296363154	0.0551108556219215
numero_de_cliente	0.0236312614681303	0.0399975483091092	0.0524098449084373
mactivos_margen	0.0234873693035225	0.0247401541764329	0.0284236098260092
Master_Fvencimiento	0.021184896249265	0.0200857435825459	0.0307466365329417
mpasivos_margen	0.0208078241933118	0.0200243934338334	0.0297938018497592
Visa_Fvencimiento	0.0179749238399512	0.0229553530734697	0.0345934112662858
internet	0.0177080405408321	0.0150937847828479	0.00572882009929955
cdescubierto_preacordado	0.0175805760607597	0.0123035162210199	0.00469330141468389
cliente_antiguedad	0.0170084978167796	0.0304725096836382	0.0398143153567815
Visa_fechaalta	0.0160902604889021	0.0156591132443363	0.0257107871123203
cpayroll_trx	0.0159316516589307	0.00541201291268529	0.000752030679701865
Visa_mfinanciacion_limite	0.0155717519897853	0.0148409011796085	0.0223798030545833
mrentabilidad	0.015478283397012	0.0240849026698054	0.0296244965134913
Master_mfinanciacion_limite	0.0147911079338286	0.0169473200773933	0.0229467790644108
chomebanking_transacciones	0.0146597433625919	0.0115835799552624	0.0227932230617492
mcomisiones_mantenimiento	0.014363899145628	0.0114976457481779	0.0116269455348671
ctarjeta_visa_transacciones	0.0107918786948038	0.00460695207052627	0.00752424413042023
Visa_msaldototal	0.0105422175852863	0.00717377903146431	0.00793766413758618
mprestamos_personales	0.0103969246413607	0.0155112670713553	0.00432712940833691
Visa_mpagospesos	0.0103801968921088	0.00917967246334763	0.0147020029215014
foto_mes	0.00987755052054352	0.0293113940834478	0.018769268325334
mpayroll	0.00891042056165929	0.00649631991797968	0.00241752270857039
ctarjeta_debito	0.00889730779826271	0.0108422378792265	0.0100087015068175
Visa_msaldopesos	0.00868650042027944	0.00744801744336516	0.00806365880643675
mcomisiones	0.00864999061439215	0.00889339575130775	0.0158950149421803
ccomisiones_mantenimiento	0.00860744421045154	0.00717271279390021	0.00230727737332614
Master_fultimo_cierre	0.00836784914350112	0.00994925056933133	0.0162572496151257
Visa_mconsumospesos	0.0083511412562519	0.00653920268499243	0.0117883762043319
Visa_mpagominimo	0.00828053364576907	0.0079672612275549	0.0108631028549604
mcaja_ahorro_dolares	0.00826872821609461	0.0128364999047481	0.0132570015631214
cproductos	0.00798664199507111	0.0224156181506322	0.0174384496355998
mtransferencias_recibidas	0.00797355206508601	0.00835464105076831	0.0118907468727729
mcomisiones_otras	0.00757681977049426	0.00888990973483633	0.0144185149165876
Visa_fultimo_cierre	0.0074585825803826	0.00841610967032121	0.0150760495946515
ccomisiones_otras	0.00712915702242436	0.00777871208707375	0.0143318935817528
mtarjeta_visa_consumo	0.00682032646759121	0.00524156630848154	0.00648478811240299
cprestamos_personales	0.00627336953896899	0.0149049500972641	0.00291756405057111
Visa_cconsumos	0.00608482654305027	0.0047846527354226	0.00923304682670615
mttarjeta_visa_debitos_automaticos	0.0055910548094768	0.00422106808156834	0.00697301745419897
active_quarter	0.00523283801510045	0.00781246620418427	0.00944172549698991
mtransferencias_emitidas	0.00458738643021302	0.00602278301541245	0.00544533209438576
Master_mlimitecompra	0.00443974590446719	0.010666843478667	0.0103197508455423
Master_msaldototal	0.00433975116597818	0.00344491076700754	0.00241358537516881
Visa_status	0.00426420587843607	0.00915944864351939	0.00154737202682112
mcuenta_debitos_automaticos	0.00424436705272722	0.00523496167903584	0.00430350540792743
Visa_mlimitecompra	0.00399577722907373	0.0104576497150485	0.00859519881565011
ctransferencias_recibidas	0.00388470492220664	0.00388764061454541	0.00609892943904811
cmobile_app_trx	0.00338180889298877	0.00362123135053433	0.00716988412427799
ctarjeta_debito_transacciones	0.00335250928696966	0.0034124814128984	0.00464999074726651
mautoservicio	0.00317200173184063	0.00503901538555144	0.00514215742246406
ctarjeta_visa_debitos_automaticos	0.00305123862030976	0.002211297727404	0.00310261872044539
mpagomiscuentas	0.00286724393043077	0.00361104589596892	0.00316561605487068
Master_mpagominimo	0.00283203599813011	0.00619800618483818	0.00259864004504309
tcallcenter	0.0026735789881427	0.00103610951806779	0.000649660011260774
Master_msaldopesos	0.00246667702094603	0.0042478915745723	0.0026577000460668
thomebanking	0.00246082960502557	0.00502328114692545	0.00488229341795975
Master_mpagospesos	0.00237759075711224	0.00519486881238202	0.00295693738458691
Master_mconsumospesos	0.00232143685596773	0.00237722613194337	0.0021537213706645
ccaja_ahorro	0.00231457736896468	0.00584553720819642	0.00214978403726292
ccaja_seguridad	0.00210936749307722	0.00614588013419498	0.000346485339339079
mtarjeta_master_consumo	0.00206834488933949	0.00215277585017291	0.00110245335244252
Visa_mconsumototal	0.00199390533994537	0.00203608670883371	0.00318530272187858
Visa_mconsumosdolares	0.00197746144069693	0.00264232022573367	0.0031616787214691
ccallcenter_transacciones	0.00190150757444364	0.00780987279594804	0.00216947070427083
mextraccion_autoservicio	0.00178465781610433	0.00317853347893181	0.00230727737332614
ctarjeta_visa	0.00177269873821937	0.000669185500093552	0.000566976009827584
ctransferencias_emitidas	0.00166717146194319	0.00353609414363838	0.00266557471286996
ccajas_consultas	0.00143573978880889	0.0159202021923448	0.00192141869997126
ccuenta_debitos_automaticos	0.00139332973871516	0.00224568304947825	0.00166942936227011
cpagomiscuentas	0.00125555008984047	0.00164127791656138	0.00162611869485272
mplazo_fijo_dolares	0.00120693594356877	0.00251645574962663	0.000598474677040228
tmobile_app	0.00111589172369235	0.00168436884691323	0.000303174671921694
cextraccion_autoservicio	0.00108037985570266	0.00250346088938172	0.00164580536186063
matm	0.00105185816095594	0.00249569857119682	0.00174423869690014
catm_trx	0.00100555925889736	0.00215479896760225	0.0010867040188362
Visa_mpagado	0.000956498788449175	0.00233590235165841	0.00196079203398706
ctarjeta_master_transacciones	0.000933368611912904	0.000968104537691155	0.000661472011465515
ccajas_otras	0.000916984061285209	0.0107728131673205	0.00110639068584411
Visa_msaldodolares	0.000882590504502833	0.00303358480533226	0.00126388402190732
matm_other	0.000830917817395995	0.00206176866094583	0.000988270683796692
Visa_Finiciomora	0.000805467416679	0.0141331917121289	0.00138594135735632
mttarjeta_master_debitos_automaticos	0.000798660398563439	0.00171850315789501	0.000752030679701865
mcaja_ahorro_adicional	0.00069030739874638	0.00912064392742098	0.00111820268604885
ccajas_transacciones	0.0006640684249036	0.00332571391293883	0.000716594679087641
Master_mconsumototal	0.000631273731428226	0.000673617524612175	0.000566976009827584
Master_cconsumos	0.000630550347098569	0.00132395337069898	0.000941022682977727
Visa_mpagosdolares	0.000626015577881057	0.000938123740831133	0.00104339335141882
catm_trx_other	0.000585757655688511	0.00143170012195934	0.000563038676426004
cseguro_accidentes_personales	0.000575360162739131	0.00125276630511639	0.00110639068584411
mprestamos_prendarios	0.000562201702255726	0.00474485836412523	0.000311049338724855
cseguro_vivienda	0.00054290343799197	0.00100588074782916	0.000748093346300285
minversion2	0.000541178857920307	0.00334965157777783	0.000279550671512212
cseguro_vida	0.00053601584490299	0.00120201489993371	0.000543352009418102
Master_delinquency	0.000515350386578582	0.000753002900258105	0.000133869335653735
cplazo_fijo	0.000475013626976014	0.00151316601183855	0.000232302670693246
Master_mpagado	0.000350597907959298	0.00157259456671638	0.000484292008394395
