Feature	Gain	Cover	Frequency
ctrx_quarter	0.0907380676853926	0.0191765632396194	0.0301546334332461
mcaja_ahorro	0.0693395207286629	0.00882709275739015	0.0214349735822412
mrentabilidad_annual	0.0351230646039329	0.0340486256106497	0.0448562061596308
cliente_edad	0.0332175033444128	0.0405479389669176	0.0580813663542465
numero_de_cliente	0.028787148982911	0.0353476182142595	0.0512819853678349
cpayroll_trx	0.0281365543595285	0.00485891401061805	0.00071806947279305
mcuentas_saldo	0.0266352037475742	0.019022205062964	0.0272078065633949
mpasivos_margen	0.0253847953391903	0.017396771581149	0.0284271536514433
cliente_antiguedad	0.0228470620550399	0.0277336746290118	0.0426737205424424
Visa_Fvencimiento	0.0228103764072515	0.0218340663530877	0.0337029934414036
mprestamos_personales	0.0228006278655293	0.0166739841286474	0.00458519063116422
Master_Fvencimiento	0.0226847448936431	0.0185805998411534	0.0315462143685873
mcuenta_corriente	0.0225165995570348	0.0350810042814358	0.0407594398715358
Master_fechaalta	0.021659409070033	0.0153126338899186	0.0274914354363
mtarjeta_visa_consumo	0.0209590701978112	0.00579406316790558	0.00565629664666698
Visa_fechaalta	0.0197200551198328	0.0130094877185508	0.0256354229326369
mpayroll	0.0188208556230028	0.0054280986892834	0.00168206488674553
mactivos_margen	0.0186517179363195	0.0214966690326214	0.0264074761486113
Visa_msaldototal	0.018437467920838	0.00627148779966447	0.00763484367850367
Master_mfinanciacion_limite	0.0176495279363866	0.0154514448307221	0.0248462320204144
Visa_mfinanciacion_limite	0.0175188077232247	0.0144535951980277	0.0246817101364332
mrentabilidad	0.0171258749449533	0.0215330589793731	0.0287442010320321
chomebanking_transacciones	0.0164166319133026	0.0106286694370123	0.0222241644944637
mcomisiones_mantenimiento	0.0132048107790298	0.011508665316189	0.0113631494972657
Visa_mpagominimo	0.011876706252169	0.00901873125268886	0.0111669228752256
Visa_mpagospesos	0.0116821277145202	0.00856210371401064	0.0147161397681955
mcaja_ahorro_dolares	0.0115440199114896	0.0129821244468336	0.0141180341691388
ctarjeta_visa_transacciones	0.0113235089899722	0.00594812235548134	0.00711985590624995
Visa_status	0.0112920614879879	0.0125796784717573	0.00136330373653191
cproductos	0.0109309505551153	0.0270522681523654	0.0168592086840134
mcomisiones	0.0107311381994594	0.00715884173099735	0.0176269774759258
ccomisiones_otras	0.0106406191283317	0.00721427146408437	0.0147906887468745
Visa_mconsumospesos	0.0102843647498441	0.00562665542914117	0.0121471991006137
mcomisiones_otras	0.00980096307871618	0.00752847730557757	0.014729849925194
mtransferencias_recibidas	0.00980015407688511	0.00744933564994741	0.0117658853590947
Master_fultimo_cierre	0.00939972911326603	0.0082173684022363	0.0148181090608714
foto_mes	0.0092894636007608	0.0416997246347793	0.0147949731709365
Visa_msaldopesos	0.00928903997059717	0.00656015633846267	0.00766140710768814
Visa_fultimo_cierre	0.00875553291566227	0.00763373041244396	0.0144770689055353
Visa_cconsumos	0.00749714985790718	0.00426352648804612	0.00846345129209661
Master_mlimitecompra	0.00715367233996301	0.00904610182639774	0.0112868867489619
