Feature	Gain	Cover	Frequency
ctrx_quarter	0.150437519470618	0.0251049253708311	0.0347777152504221
mcuentas_saldo	0.0631153076406929	0.0226303362949115	0.0288321792958332
mprestamos_personales	0.0427868961447883	0.0155931744128063	0.00467813363998924
mrentabilidad_annual	0.0305558588805298	0.040423613949702	0.0409092021237552
cliente_edad	0.0302454425640754	0.0572140278978252	0.0536517335029728
numero_de_cliente	0.0298277800966228	0.0518457549239547	0.0537789630789557
cpayroll_trx	0.0270558666074966	0.00256405901309415	0.000758484010667711
mcaja_ahorro	0.0265673541269398	0.014527935072384	0.0257248415747107
ctarjeta_master	0.0254904148856704	0.000260417621328111	0.000176164028284113
mpasivos_margen	0.0241753124421459	0.0213419003118249	0.0311418854444472
Master_fechaalta	0.023865559329591	0.0242301735845475	0.0297864011157055
mcuenta_corriente	0.0231042250756965	0.0427643210205037	0.0402632673533802
Visa_Fvencimiento	0.0227868786752123	0.0300493443962149	0.0352621663282034
cliente_antiguedad	0.0218310297801923	0.0370031509510691	0.0402534804629199
Master_Fvencimiento	0.0217556991683507	0.0263751414012825	0.0321841892784615
mactivos_margen	0.0188084503379147	0.0230258660601564	0.0262141860977221
Visa_fechaalta	0.0183122359197362	0.0204944901516035	0.0276479655501456
mrentabilidad	0.0161722130757134	0.0245330920265901	0.0255584644368868
chomebanking_transacciones	0.0159660488279323	0.0161715800649295	0.0267769322991852
mtarjeta_visa_consumo	0.0152557076997775	0.00472359849292593	0.00755058599006631
Master_mfinanciacion_limite	0.0149941364151337	0.0168972674298754	0.0197401580582809
Visa_mfinanciacion_limite	0.0134206076292305	0.0152140463255634	0.0192361331995792
Visa_mpagominimo	0.0122257680823061	0.00930720477341257	0.013916958234445
Master_msaldopesos	0.0109376951025908	0.00350871082528274	0.00250055051258839
Visa_mpagospesos	0.010750538743096	0.00985445597347542	0.0170242959555675
cproductos	0.0105698612790172	0.0155604117161267	0.0145824667857405
ctarjeta_visa_transacciones	0.0103803127332515	0.00650192287950755	0.00977221012453818
Visa_mconsumospesos	0.0103773650982447	0.00778350409757861	0.0146852291355729
mcaja_ahorro_dolares	0.0103733821735781	0.0130475135282408	0.0141175894888796
mcomisiones_mantenimiento	0.0101689003192664	0.0124687920110043	0.0106774974921093
mpayroll	0.00998153356226215	0.00642337458938077	0.0025396980744293
mtransferencias_recibidas	0.0094734622479306	0.00903811618424839	0.0147390570331042
mcomisiones_otras	0.00925659336074021	0.00958483346090972	0.0140148271390472
foto_mes	0.00923329578399803	0.0249586927721715	0.0172787551075335
Visa_fultimo_cierre	0.00919185889179325	0.0138000102360324	0.0157764674218884
Master_fultimo_cierre	0.00882767990715708	0.0129674592892475	0.0161826233759879
ccomisiones_otras	0.00847308161023775	0.0116631015117787	0.014347581414695
mcomisiones	0.00839728446925127	0.00968649213125781	0.0141616304959507
Visa_cconsumos	0.00768217719083705	0.00509945691440385	0.010104964400186
Visa_msaldopesos	0.00720248652939414	0.00647143019895832	0.00784419270387316
Visa_msaldototal	0.00657914967406375	0.00668752717107919	0.0080986518558391
mttarjeta_visa_debitos_automaticos	0.0064690969629143	0.00472939637448075	0.00842651268625676
Master_mlimitecompra	0.00637052645454218	0.0126582881164338	0.0111325878985099
Master_mpagominimo	0.00632199249882411	0.00315720215965681	0.00263267353380147
Visa_mlimitecompra	0.00615699885354901	0.0128489533285127	0.0109074894179247
cdescubierto_preacordado	0.00605480748083287	0.00934864128667075	0.00397347752685278
mtransferencias_emitidas	0.00507033693052354	0.00545219502822452	0.00657189694404345
ctarjeta_debito	0.00503058571300218	0.0124350212047882	0.00872990629052384
cmobile_app_trx	0.00449278417787188	0.00409194311042548	0.00646913459421105
mcuenta_debitos_automaticos	0.00446287382014883	0.00499139573849053	0.00406645298622495
mautoservicio	0.00446120154156055	0.00499124104314122	0.00661104450588437
Visa_status	0.00444327450013686	0.00492354913796175	0.000919967703261481
