Feature	Gain	Cover	Frequency
ctrx_quarter	0.165658593536686	0.0167557975425132	0.029084220480564
cliente_edad	0.035357987158641	0.0334316488674982	0.0624149269984096
mrentabilidad_annual	0.0340266055529188	0.0295042143247284	0.0491981645723783
numero_de_cliente	0.0317493464117013	0.0334189594561528	0.0573365165561016
mcuentas_saldo	0.0303393488607226	0.0201954804442668	0.0255353330563237
mcaja_ahorro	0.0276345351943334	0.00782248557800069	0.0200252890691044
mprestamos_personales	0.0262325707565826	0.0136259537759042	0.00437096127118766
mpasivos_margen	0.0261703958620763	0.0141082551667049	0.0275108177037812
cliente_antiguedad	0.0248516916098777	0.0243177161078349	0.0435269296347771
mcuenta_corriente	0.0243379388759302	0.0284418131229413	0.0414144326794951
Visa_Fvencimiento	0.0240375690351178	0.0199243368064227	0.0358470763543622
Master_fechaalta	0.0237493762968503	0.0154271968489821	0.0281502084736292
Master_Fvencimiento	0.0226316878289368	0.0193388104673197	0.0334417491725531
cpayroll_trx	0.0222322162467281	0.00612114346765524	0.000855207542303669
Visa_fechaalta	0.0189781476606287	0.0119399347199926	0.0249899703408651
mpayroll	0.0188224851527392	0.00561009251057273	0.00166653532589228
Master_mfinanciacion_limite	0.0187895861136904	0.0153355830838214	0.0258057756508532
mrentabilidad	0.018744364446801	0.0188557322267972	0.0293985428338086
mactivos_margen	0.0186438243501174	0.0181939149809168	0.0256983150172653
Visa_mfinanciacion_limite	0.0177303746055214	0.0143540839923149	0.0250616107632571
chomebanking_transacciones	0.0172197595083785	0.0106313955211101	0.0235159686501512
Visa_mpagominimo	0.0132665274064347	0.0102597173346437	0.0116200765119711
mcaja_ahorro_dolares	0.0122077215662748	0.0123772699413535	0.0157465648417463
mcomisiones_mantenimiento	0.0121325128863677	0.012719786708654	0.0111956070092989
cproductos	0.0118039497604772	0.0240120750489818	0.0169268408006534
mtarjeta_visa_consumo	0.0113117793583564	0.00721113347030069	0.00503811270471251
Visa_mpagospesos	0.0108244756416492	0.00861232133540864	0.014773150602496
ctarjeta_visa_transacciones	0.0107416831471171	0.00775279902114853	0.00717299729199203
cdescubierto_preacordado	0.0105212737548297	0.0241369064181208	0.00335724929434184
foto_mes	0.0103857638150146	0.0509859640634648	0.0195211195965211
Visa_mconsumospesos	0.00967371222804245	0.00770620254557018	0.0119460404338544
mcomisiones	0.00965018968350664	0.0053437541661308	0.0158074592007794
mtransferencias_recibidas	0.0095085544593503	0.00687961508159466	0.0115860473113349
Master_fultimo_cierre	0.0094684842119665	0.00788416984752928	0.0155907469230439
Visa_fultimo_cierre	0.00889818213663866	0.00627599397647312	0.0152092616738068
ccomisiones_otras	0.00863479369179097	0.00670467940504203	0.0146710630005875
Visa_msaldopesos	0.00765361748871951	0.00965633178408131	0.00571063716991675
Visa_cconsumos	0.00688435785516017	0.00443906923992713	0.00833267662946141
mttarjeta_visa_debitos_automaticos	0.00677926603734699	0.00400893205812416	0.00682106371699168
