fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231104 223645	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	667	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.129464825580638	0.589979261678396	603	34060	14915	146056469.265367	1
20231104 224010	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0661204550073144	0.306758356069939	135	27020	15317	134066137.431284	2
20231104 224217	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.113019156746563	0.722689286671374	381	28634	13770	137384672.663668	3
20231104 224445	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	138	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.175678618850921	0.0837276906739244	542	6859	15352	127545835.082459	4
20231104 224832	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.275198918823473	0.32486327912462	723	16035	13334	139461640.17991	5
20231104 225217	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.152941050471095	0.645387167052228	502	12627	14337	140450095.452274	6
20231104 225410	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.19416275426125	0.794035319192328	845	42464	13154	139197802.098951	7
20231104 230027	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	832	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.208330530396255	0.164289977450783	938	38948	12281	144094489.255372	8
20231104 230555	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	80	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0267066953639716	0.560570734105559	306	19296	14618	136132270.864568	9
20231104 230950	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	476	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.221560927090974	0.826648094024347	31	34846	12259	144156275.362319	10
20231104 231507	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	172	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0852503757905397	0.925651702728775	683	1679	13270	144353118.44078	11
20231104 231819	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	111	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0506736029737185	0.207218508431007	246	49507	15292	125790342.828586	12
20231104 232059	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.241211629895149	0.979385213098052	981	9632	14350	133972548.725637	13
20231104 232721	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	452	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.289686593103062	0.413139080222854	417	43892	13234	139299391.304348	14
20231104 232918	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.260954398056728	0.0272621639125061	107	5794	13214	133531965.017491	15
20231104 233858	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	762	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0917235747127569	0.46677263015138	785	24824	11350	143427061.469265	16
20231104 234827	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	736	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.167047270852366	0.507211243074002	729	34128	11993	144010279.36032	17
20231104 235113	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0274868339269054	0.632455005206836	648	48859	16161	133703284.857571	18
20231104 235448	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	362	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.147606352542511	0.647039406789359	510	36383	12061	148369981.509245	19
