fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231106 082339	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	820	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.129464825580638	0.589979261678396	603	34060	12535	146055979.510245	1
20231106 082707	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0661204550073144	0.306758356069939	135	27020	14513	127359164.917541	2
20231106 083300	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	787	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.113019156746563	0.722689286671374	381	28634	11093	146538745.127436	3
20231106 083600	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	248	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.175678618850921	0.0837276906739244	542	6859	13794	128404578.710645	4
20231106 084013	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	179	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.275198918823473	0.32486327912462	723	16035	12342	137921822.088956	5
20231106 084406	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	283	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.152941050471095	0.645387167052228	502	12627	12500	144794352.823588	6
20231106 084802	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.19416275426125	0.794035319192328	845	42464	14625	147443910.544728	7
20231106 085350	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	720	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.208330530396255	0.164289977450783	938	38948	11762	138966049.975012	8
20231106 085910	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0267066953639716	0.560570734105559	306	19296	13420	132271034.482759	9
20231106 090153	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	188	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.221560927090974	0.826648094024347	31	34846	14789	135519618.690655	10
20231106 090808	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	268	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0852503757905397	0.925651702728775	683	1679	13944	147275578.210895	11
20231106 091112	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0506736029737185	0.207218508431007	246	49507	17396	116193297.351324	12
20231106 091425	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	139	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.241211629895149	0.979385213098052	981	9632	12795	143479377.811094	13
20231106 091937	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	282	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.289686593103062	0.413139080222854	417	43892	13517	140334443.278361	14
20231106 092219	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.260954398056728	0.0272621639125061	107	5794	11830	125796856.571714	15
20231106 093332	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	945	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0917235747127569	0.46677263015138	785	24824	15073	143950949.025487	16
20231106 093743	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	431	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.123072192783259	0.896295319732092	1023	24931	12358	142853040.47976	17
20231106 094040	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	264	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.249138925475204	0.841995550921641	457	42041	12877	141163108.945527	18
20231106 094625	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	682	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.106211654390014	0.75897574264445	666	17404	12342	144255335.332334	19
20231106 095456	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.199661473962421	0.539464558656722	963	42699	14827	136961604.697651	20
20231106 095958	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	675	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.13247746039811	0.926744919767366	805	30796	13592	144948513.743128	21
20231106 100452	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	741	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.151955648844144	0.715044357410235	523	49679	13091	143795283.858071	22
20231106 100944	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.201825132156712	0.83120950068782	845	261	15250	128877346.326837	23
20231106 101420	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	631	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.152543617535428	0.793430937027061	759	39678	12628	144109227.386307	24
20231106 101859	601	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	525	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.131805452505282	0.629806153426322	653	25740	13072	147374620.689655	25
