fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231104 104039	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	873	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.129464825580638	0.589979261678396	603	34060	13231	145524889.055472	1
20231104 104406	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0661204550073144	0.306758356069939	135	27020	16591	127660301.349325	2
20231104 104825	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	475	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.113019156746563	0.722689286671374	381	28634	12523	147009924.537731	3
20231104 105123	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.175678618850921	0.0837276906739244	542	6859	13767	135654868.065967	4
20231104 105521	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.275198918823473	0.32486327912462	723	16035	12014	139029256.371814	5
20231104 105900	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.152941050471095	0.645387167052228	502	12627	12947	136597086.956522	6
20231104 110104	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.19416275426125	0.794035319192328	845	42464	15371	140431925.537231	7
20231104 110326	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.208330530396255	0.164289977450783	938	38948	14293	139202773.113443	8
20231104 110856	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0267066953639716	0.560570734105559	306	19296	12936	139210738.630685	9
20231104 111236	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	357	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.221560927090974	0.826648094024347	31	34846	13544	144734168.915542	10
20231104 112002	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	368	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0852503757905397	0.925651702728775	683	1679	12598	144850961.51924	11
20231104 112401	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	253	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0506736029737185	0.207218508431007	246	49507	15455	129530382.308846	12
20231104 112648	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.241211629895149	0.979385213098052	981	9632	13214	134417302.348826	13
20231104 113332	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.289686593103062	0.413139080222854	417	43892	12547	144346132.433783	14
20231104 113608	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	357	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.260954398056728	0.0272621639125061	107	5794	13190	130688950.524738	15
20231104 114444	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0917235747127569	0.46677263015138	785	24824	11937	148209075.962019	16
20231104 114708	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0999365944137719	0.739226795198681	924	17911	14936	136184331.834083	17
20231104 115203	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0228835085643292	0.28687401657649	585	45516	16541	129043684.657671	18
20231104 115850	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	433	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.154081424946324	0.493689872703094	741	43090	13528	143630456.771614	19
20231104 120053	602	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.126775268023798	0.728186673535666	53	46146	14734	135854103.948026	20
