Feature	Gain	Cover	Frequency
ctrx_quarter	0.359882981424923	0.119880237725658	0.0188338833883388
mprestamos_personales	0.0519755297705561	0.0303272053256528	0.0212541254125413
cpayroll_trx	0.0514945071347573	0.0794910284172737	0.00686468646864686
mcuentas_saldo	0.0471138158578827	0.0369969058017474	0.0304070407040704
mcaja_ahorro	0.0415324577224787	0.0169789985533875	0.0209020902090209
mpayroll	0.0293663694191091	0.0586759408457679	0.00338833883388339
mpasivos_margen	0.0280259817189363	0.0386275007606619	0.0209020902090209
mrentabilidad_annual	0.0245888600954156	0.0304548091395157	0.0516611661166117
mtarjeta_visa_consumo	0.0198866085721042	0.0242947401991897	0.0131573157315732
mcuenta_corriente	0.0142201099713248	0.00762514128434492	0.0313311331133113
cdescubierto_preacordado	0.0136524547999736	0.0110706546076499	0.00787678767876788
mactivos_margen	0.0135058493371126	0.0208097983118261	0.0295709570957096
ctarjeta_visa_transacciones	0.0122083413018217	0.0775330998707037	0.0179097909790979
cproductos	0.012085134710952	0.0253837848570589	0.0154895489548955
Visa_mpagominimo	0.0116736097864485	0.0128492775903514	0.022002200220022
mcomisiones_mantenimiento	0.0116642718394641	0.0750666220679276	0.0265786578657866
Master_fechaalta	0.0112640660263251	0.00898664049205776	0.0302750275027503
cliente_edad	0.0111095695573596	0.00890612601733791	0.0388558855885589
Visa_status	0.0100732808207416	0.0158618621250579	0.00514851485148515
chomebanking_transacciones	0.00948210565178399	0.00973872130980146	0.0277227722772277
Master_status	0.00923778610239683	0.0100596138073339	0.00514851485148515
mrentabilidad	0.00902361128905313	0.00729317662583458	0.0228382838283828
Master_Fvencimiento	0.00846703056368192	0.00543559303687589	0.0286908690869087
Visa_fechaalta	0.00843265994236606	0.0052633222901632	0.0223982398239824
Visa_Fvencimiento	0.00745605139753426	0.00522017360215414	0.0237183718371837
cliente_antiguedad	0.00736975554101931	0.00467005157911993	0.0254785478547855
foto_mes	0.00736475473155757	0.00915886882969669	0.0157095709570957
numero_de_cliente	0.00699323941629944	0.0043792118476187	0.0244664466446645
Master_mfinanciacion_limite	0.00635442945169501	0.00425851562369022	0.0214301430143014
Visa_mfinanciacion_limite	0.00631016516864867	0.00541737918787631	0.0211661166116612
ccallcenter_transacciones	0.00509546942652953	0.00923836379028328	0.00712871287128713
