fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231031 131818	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	198	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.13694120913744	0.511200065682206	759	20645	13143	146258990.004997	1
20231031 132159	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.10871455284534	0.383395616570779	371	38535	11623	143067465.767116	2
20231031 132655	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.153177819112316	0.276715104630857	621	15235	12296	149166060.969515	3
20231031 133014	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	171	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.271073784258333	0.78185350669577	116	34014	13821	144759226.886557	4
20231031 134257	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	761	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.238883439445053	0.644795008537039	542	2127	11818	136581306.346827	5
20231031 134647	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	408	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0900664854224306	0.0754280283300613	412	23029	13967	141670320.33983	6
20231031 135106	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.186720657731057	0.696503204608016	661	16723	13672	141223296.351824	7
20231031 135412	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0429818473849446	0.840359180488013	150	42638	11637	141749835.582209	8
20231031 141028	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.166457323828363	0.380679800144862	905	3322	11268	132360141.929035	9
20231031 141448	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0768787990038982	0.575646079617873	831	46409	14056	142713467.266367	10
20231031 141914	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.199060535248718	0.482284466433484	268	29593	12689	140619858.570715	11
20231031 142115	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.218087663662154	0.0349420346751867	500	8456	14101	132743714.642679	12
20231031 142346	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.247791156655876	0.936292199923046	887	48584	12814	136139001.49925	13
20231031 142803	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	178	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0278307219524868	0.240808322774392	56	34450	11712	138894300.849575	14
20231031 143101	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0708034699544078	0.142060961340176	995	27067	12252	141241837.081459	15
20231031 143406	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.291614252373693	0.946646284638409	253	10265	11824	133435658.170915	16
20231031 143636	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.122320111896963	0.0764718215932364	410	14936	14103	142556441.27936	17
20231031 144525	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	808	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.13229845819356	0.312490593140245	739	17311	12251	145879261.869065	18
20231031 145212	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.185493473524664	0.280159619661838	109	14964	12234	141323199.4003	19
20231031 145737	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	292	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.150866642413552	0.351763674715204	853	15413	12971	145087257.871064	20
20231031 150343	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	491	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.153175984671986	0.183225874805378	475	17750	12246	144208374.812594	21
20231031 150909	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	290	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.139418235745498	0.253487891658222	610	15350	14822	142252376.811594	22
20231031 151437	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.203677970921507	0.308058084859087	625	17322	12702	146306569.715142	23
20231031 151748	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0953087339998861	0.0707478667006988	621	588	14210	139624812.593703	24
20231031 152345	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.219295176006098	0.533428394957128	379	30892	14353	139872548.225887	25
20231031 152833	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0679463801090529	0.519576129272802	1024	32800	13485	142564060.469765	26
20231031 153151	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.299691394519305	0.64672403506852	23	22695	15497	132191424.787606	27
20231031 153652	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	681	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0255868075238671	0.0382536196312106	419	3467	15043	136820499.250375	28
