fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231031 195352	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	342	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.13694120913744	0.511200065682206	759	20645	11049	141701937.531234	1
20231031 195738	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.10871455284534	0.383395616570779	371	38535	13936	141153387.306347	2
20231031 200106	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.153177819112316	0.276715104630857	621	15235	14058	142587523.238381	3
20231031 200435	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.271073784258333	0.78185350669577	116	34014	11876	145912897.551224	4
20231031 201516	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	646	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.238883439445053	0.644795008537039	542	2127	13069	129920878.06097	5
20231031 201959	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	350	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0900664854224306	0.0754280283300613	412	23029	15849	141951572.713643	6
20231031 202340	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.186720657731057	0.696503204608016	661	16723	12574	145579521.23938	7
20231031 202646	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0429818473849446	0.840359180488013	150	42638	12129	143242147.426287	8
20231031 203112	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.166457323828363	0.380679800144862	905	3322	14747	127846282.358821	9
20231031 203450	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279523	0.0768787990038982	0.575646079617873	831	46409	15095	142103935.532234	10
