fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231030 222152	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	37	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.13694120913744	0.511200065682206	759	20645	15494	144972644.677661	1
20231030 222531	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	64	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.10871455284534	0.383395616570779	371	38535	12324	141182954.522739	2
20231030 222843	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	37	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.153177819112316	0.276715104630857	621	15235	12867	142586372.313843	3
20231030 223213	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.271073784258333	0.78185350669577	116	34014	12949	146806515.242379	4
20231030 224323	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	570	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.238883439445053	0.644795008537039	542	2127	12170	125917126.436782	5
20231030 224817	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	617	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0900664854224306	0.0754280283300613	412	23029	14281	146625123.938031	6
20231030 225131	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.186720657731057	0.696503204608016	661	16723	12294	140704638.68066	7
20231030 225509	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0429818473849446	0.840359180488013	150	42638	14351	145020301.349325	8
20231030 230013	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.166457323828363	0.380679800144862	905	3322	11449	143110613.193403	9
20231030 230356	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0768787990038982	0.575646079617873	831	46409	12972	144859168.415792	10
20231030 231013	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	347	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.199060535248718	0.482284466433484	268	29593	13495	145892261.369315	11
20231030 231224	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	155	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.218087663662154	0.0349420346751867	500	8456	13549	136803616.691654	12
20231030 231552	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.247791156655876	0.936292199923046	887	48584	11320	145945627.186407	13
20231030 232058	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0278307219524868	0.240808322774392	56	34450	14212	143208413.793103	14
20231030 232714	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	595	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0708034699544078	0.142060961340176	995	27067	13437	143664918.04098	15
20231030 233114	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.291614252373693	0.946646284638409	253	10265	15745	129603670.664668	16
20231030 233439	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	675	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.250090010298442	0.813096496734974	8	43980	13458	147734709.645177	17
20231030 233938	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	918	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.268989336782146	0.0378011369662947	175	41749	13358	137845084.457771	18
20231030 234302	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	510	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.21455286789141	0.99937667719201	12	36554	14003	144977580.709645	19
20231030 234550	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.291303062404287	0.998640844815636	39	46890	12597	141279950.524738	20
20231030 234954	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	326	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.237600324717814	0.767013630170368	438	41238	12289	145643486.756622	21
20231030 235326	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0766274574263563	0.605964706655545	210	23182	13772	142614970.514743	22
20231030 235836	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1304	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.245368154989051	0.711185488683871	9	34536	13054	145161970.014993	23
20231031 000225	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	310	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.209999854857604	0.816939217431136	92	48354	13047	146026902.048975	24
20231031 000746	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	227	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.179182325780861	0.53123706902374	1003	29428	12739	148042832.083958	25
20231031 001241	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	397	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.176402272819303	0.842503892719582	877	30894	13452	142042796.601699	26
