fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231030 025502	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.13694120913744	0.511200065682206	759	20645	15198	139706853.573213	1
20231030 025809	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.10871455284534	0.383395616570779	371	38535	15334	137609946.026987	2
20231030 030331	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.153177819112316	0.276715104630857	621	15235	13032	146772501.749125	3
20231030 030611	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.271073784258333	0.78185350669577	116	34014	10792	136547534.232884	4
20231030 031528	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	481	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.238883439445053	0.644795008537039	542	2127	15202	122426179.910045	5
20231030 031911	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0900664854224306	0.0754280283300613	412	23029	13949	141913161.91904	6
20231030 032201	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.186720657731057	0.696503204608016	661	16723	15123	137453402.798601	7
20231030 032500	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0429818473849446	0.840359180488013	150	42638	12217	142618731.134433	8
20231030 032909	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.166457323828363	0.380679800144862	905	3322	12529	137152672.163918	9
20231030 033237	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0768787990038982	0.575646079617873	831	46409	13795	139535589.705147	10
